ClassKey;Characteristic;MaxLength;Pattern;Required;AllowedValues;SourceTable;FromStep
ELF;Atex;;;;X;;Verify_Master_Data_FL
ELF;Risiko;;;;X;;Verify_Master_Data_FL
ELF;Asbestos;;;;X;;Verify_Master_Data_FL
ELF;PTW;;;;X;;Verify_Master_Data_FL
ELF;ABC Indic.;;;;A;;Verify_Master_Data_FL
ELF;StrIndicator;;;;"KKS;AKS;ROS;KKSKV;KKSKA";;Verify_Master_Data_FL
ELF;Manufacturer;30;.*;Nej;;;Verify_Master_Data_FL
ELF;Description;40;.*;Ja;;;Verify_Master_Data_FL
ELF;Model Number;20;.*;Nej;;;Verify_Master_Data_FL
ELF;Manufacturer Part Number;30;.*;Nej;;;Verify_Master_Data_FL
ELF;Manufacturer Serial Number;30;.*;Nej;;;Verify_Master_Data_FL
ELF;Sort Field;30;.*;Nej;;;Verify_Master_Data_FL
ELF;Room;8;.*;Nej;;;Verify_Master_Data_FL
ELF;Full load current [A];8;^[0-9,]*$;Nej;;;ELF
ELF;IP class;30;.*;Nej;;;ELF
ELF;Power [kW];13;^[0-9,]*$;Nej;;;ELF
ELF;Remarks;30;.*;Nej;;;ELF
ELF;Supply from;30;.*;Nej;;;ELF
ELF;Voltage [V];7;^[0-9,]*$;Nej;;;ELF
ELF;Switching Location;30;.*;Nej;;;ELF
ELF;Safety Critical Equipment;;;;;SCEq;TRMNEW
ELF;EX-Marking;30;.*;Nej;;;TRMNEW
Equipment Numbers;Plant;30;.*;Ja;;;Equipment_Numbers
Equipment Numbers;Equipment Category;60;.*;Ja;;;Equipment_Numbers
Equipment Numbers;Status;40;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Equipmentnummer;30;^[A-Z0-9._/\-]*$;Nej;;;Equipment_Numbers
Equipment Numbers;Beskrivelse;40;.*;Ja;;;Equipment_Numbers
Equipment Numbers;Fabrikat;30;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Type betegnelse;30;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Serienummer;30;.*;Nej;;;Equipment_Numbers
Equipment Numbers;Func. location;30;^[A-Z0-9._/\-]*$;Ja;;;Equipment_Numbers
Equipment Numbers;Func. loc. 1;30;^[A-Z0-9._/\-]*$;Nej;;;Equipment_Numbers
Equipment Numbers;Functional location 2;30;^[A-Z0-9._/\-]*$;Nej;;;Equipment_Numbers
