ClassKey;VerifySteps;StepCount
ELF;"Verify_Master_Data_FL;ELF;TRMNEW;VerifyFunctionalLocationClasses;KKS_Syntax";5
Equipment Numbers;Equipment_Numbers;1
GIV;"Verify_Master_Data_FL;GIV;TRMNEW;Operating_temperature_;Operating_pressure_;TestMethod;Typekreds;VerifyFunctionalLocationClasses;KKS_Syntax";9
KAB;"Verify_Master_Data_FL;KAB;KKS_Syntax";3
MAA;"Verify_Master_Data_FL;MAA;Design_pressure_;Design_temperature_;TRMNEW;VerifyFunctionalLocationClasses;KKS_Syntax";7
MKP;"Verify_Master_Data_FL;MKP;TRMNEW;VerifyFunctionalLocationClasses;KKS_Syntax";5
MKP_AC;"Verify_Master_Data_FL;MKP_AC;TRMNEW;VerifyFunctionalLocationClasses;KKS_Syntax";5
MKP_FA;"Verify_Master_Data_FL;MKP_FA;TRMNEW;Design_pressure_;Design_temperature_;Design_flow_;VerifyFunctionalLocationClasses;KKS_Syntax";8
MKP_FI;"Verify_Master_Data_FL;MKP_FI;TRMNEW;Design_pressure_;Design_temperature_;Design_flow_;VerifyFunctionalLocationClasses;KKS_Syntax";8
MKP_HE;"Verify_Master_Data_FL;MKP_HE;TRMNEW;Design_flow_;VerifyFunctionalLocationClasses;KKS_Syntax";6
MKP_PI;"Verify_Master_Data_FL;MKP_PI;TRMNEW;Design_pressure_;Design_temperature_;VerifyFunctionalLocationClasses;KKS_Syntax";7
MKP_PU;"Verify_Master_Data_FL;MKP_PU;TRMNEW;Design_pressure_;Design_temperature_;Design_flow_;VerifyFunctionalLocationClasses;KKS_Syntax";8
MKP_TA;"Verify_Master_Data_FL;MKP_TA;TRMNEW;Design_pressure_;Design_temperature_;VerifyFunctionalLocationClasses;KKS_Syntax";7
MKP_VA;"Verify_Master_Data_FL;MKP_VA;TRMNEW;Design_pressure_;Design_temperature_;Design_flow_;VerifyFunctionalLocationClasses;KKS_Syntax";8
NO CLASS;"TRMNEW;Verify_Master_Data_FL;VerifyFunctionalLocationClasses;KKS_Syntax";4
RBR;"Verify_Master_Data_FL;RBR;TRMNEW;VerifyFunctionalLocationClasses;KKS_Syntax";5
SIGNAL;"TRMNEW;Verify_Master_Data_FL;VerifyFunctionalLocationClasses;KKS_Syntax";4
TAF;"Verify_Master_Data_FL;TAF;TRMNEW;VerifyFunctionalLocationClasses;KKS_Syntax";5
UNF;"Verify_Master_Data_FL;UNF;VerifyFunctionalLocationClasses;KKS_Syntax";4
