"KeyType","KeyValue","Value","Description"
"BR18","UE","FP","Fire Penetration"
"BR18","UE","FD","Fire Door"
"BR18","UE","FG","Fire Gate"
"BR18","UE","FH","Fire Hatch"
"BR18","UF","D","Door"
"BR18","UF","G","Gate"
"BR18","UF","H","Hatch"
"Aggregate","AH","ELF","Køle- og opvarmningsaggregater, såfremt der er drevet elektrisk eller på anden måde, f.eks. kalorifere (se endvidere AC)."
"Aggregate","GQ","ELF","Kraftstikkontakter."
"Aggregate","GR","ELF","Batterier."
"Aggregate","GS","ELF","Kasser, paneler, instrumentstativer mv., som indeholder aktive komponenter."
"Aggregate","GT","ELF","Transformere."
"Aggregate","GU","ELF","Omformere."
"Aggregate","AB","MKP","Døre, sluser, brandventilationsspjæld inkl. drev (se endvidere AA)."
"Aggregate","AE","MKP","Taljer, løftegrej, transportører."
"Aggregate","AF","MKP","Fødere, tildelere for faste medier, f.eks. kulfødere, kultransportbånd (se endvidere AN, AP)."
"Aggregate","AG","MKP","Generatoraggregater."
"Aggregate","AJ","MKP","Formalings- og knuseaggregater, f.eks. kulmøller, kværne."
"Aggregate","AK","MKP","Presse- og komprimeringsaggregater for faste medier."
"Aggregate","AM","MKP","Røre- og blandeaggregater."
"Aggregate","AS","MKP","Forstillings- og spændeanordninger."
"Aggregate","AU","MKP","Omsættere (ikke rent elektriske), f.eks. elektro-hydraulisk omformer, gear, Voith-gear."
"Aggregate","AV","MKP","Brændere og øvrige brænderindretninger, f.eks. riste."
"Aggregate","AW","MKP","Behandlings- og værktøjsmaskiner."
"Aggregate","AX","MKP","Prøveudstyr og overvågningsindretninger (ikke målekredse), f.eks. TV og kulprøveudtagningsindretning."
"Aggregate","BE","MKP","(Reserveret)."
"Aggregate","BF","MKP","Fundamenter."
"Aggregate","BN","MKP","Ejektorer, injektorer, indsprøjtningsdyser."
"Aggregate","BP","MKP","Drøvleblænder, flow- og gennemstrømningsbegrænsere, ikke måleblænder."
"Aggregate","BS","MKP","Lyddæmpere."
"Aggregate","BU","MKP","Isolering, dækplader."
"Aggregate","GZ","MKP","Ophæng, kabelbakker og anden udrustning for elektrotekniske installationer."
"Aggregate","HA","MKP","Maskinhusdele (statordele)."
"Aggregate","HB","MKP","Maskinløberdele (rotordele)."
"Aggregate","HD","MKP","Lejedele."
"Aggregate","UA","MKP","Åbne områder"
"Aggregate","UB","MKP","Trafikruter, fx veje, pladser"
"Aggregate","UC","MKP","Støtteelementer for civile objekter, fx broer"
"Aggregate","UD","MKP","Skakter, kanaler"
"Aggregate","UE","MKP","Isolerende elementer, sikkerhedsrelaterede, fx branddør"
"Aggregate","UF","MKP","Isolerende elementer, ikke sikkerhedsrelaterede, fx dør"
"Aggregate","UG","MKP","Støtteelementer, fx lofter, vægge"
"Aggregate","UH","MKP","Ikke Støttende elementer, fx lofter, vægge"
"Aggregate","US","MKP","Bolig, fx, rum, korridor, forhal, trapper"
"Aggregate","AN","MKP_FA","Kompressorer, ventilatorer, sugere af alle medier undtagen flydende (se endvidere AF, AP)."
"Aggregate","AT","MKP_FI","Centrifuger, rensnings-, tørrings- og adskillelsesaggregater, f.eks. fangesi i taproggeanlæg, sodblæsere, kuglerensningsanlæg."
"Aggregate","BT","MKP_FI","Katalysatorer, filtre, tørrere, udskillere, sier, vandudladere, kondensomater."
"Aggregate","AC","MKP_HE","Varmevekslere (se endvidere AH)."
"Aggregate","BR","MKP_PI","Rørledninger, kanaler, render, kompensatorer, samlere, bælge."
"Aggregate","AP","MKP_PU","Pumpeaggregater (flydende medier) (se endvidere AF, AN)."
"Aggregate","BB","MKP_TA","Beholdere, kondenspotter, standrør (se endvidere komponentnøgle QS)."
"Aggregate","AA","MKP_VA","Armaturer, spjæld, jalousier inkl. drev (også håndbetjente ventiler) (se endvidere AB)."
"Aggregate","CD","MAA","Massefylde."
"Aggregate","CE","MAA","Elektriske størrelser (strøm, spænding, effekt mv.)"
"Aggregate","CF","MAA","Flow."
"Aggregate","CG","MAA","Position, stilling, afstand, eksentricitet."
"Aggregate","CH","MAA","Manuelt betjent giver, f.eks. brandmelder."
"Aggregate","CK","MAA","Tid."
"Aggregate","CL","MAA","Niveau."
"Aggregate","CM","MAA","Fugtighed."
"Aggregate","CP","MAA","Tryk."
"Aggregate","CQ","MAA","Analysemåling (pH-værdi, ledningsevne mv.)."
"Aggregate","CR","MAA","Strålings- og lysintensitet, flammeovervågning."
"Aggregate","CS","MAA","Omdrejning, frekvens, hastighed."
"Aggregate","CT","MAA","Temperatur."
"Aggregate","CU","MAA","Sammensatte størrelser."
"Aggregate","CV","MAA","Viskositet."
"Aggregate","CW","MAA","Masse, kraft."
"Aggregate","CX","MAA","Neutronflux (reaktoreffektmåling)."
"Aggregate","CY","MAA","Vibrationer, udvidelse."
"Aggregate","DD","MAA","Massefylde."
"Aggregate","DE","MAA","Elektriske størrelser (strøm, spænding, effekt mv.)."
"Aggregate","DF","MAA","Flow."
"Aggregate","DG","MAA","Position, stilling, afstand, eksentricitet."
"Aggregate","DK","MAA","Tid."
"Aggregate","DL","MAA","Niveau."
"Aggregate","DM","MAA","Fugtighed."
"Aggregate","DP","MAA",""
"Aggregate","DQ","MAA","Analysemåling (pH-værdi, ledningsevne mv. andre end DD*, DM*, DV*)."
"Aggregate","DR","MAA","Strålings- og lysintensitet, flammeovervågning."
"Aggregate","DS","MAA","Omdrejning, frekvens, hastighed."
"Aggregate","DT","MAA","Temperatur."
"Aggregate","DU","MAA","Sammensatte størrelser."
"Aggregate","DV","MAA","Viskositet."
"Aggregate","DW","MAA","Masse, kraft."
"Aggregate","DX","MAA","Neutronflux (reaktoreffektmåling)."
"Aggregate","DY","MAA","Vibrationer, udvidelse."
"Aggregate","GV","TAF","Ledningsadskillere, jordsluttere, effektafbrydere."
