"ListName","Value","Value2","Sort"
"Design_Temp_uom","°C","","1"
"Design_Temp_uom","°F","","2"
"Design_Temp_uom","K","","3"
"Design_flow_uom","m³/s","","1"
"Design_flow_uom","m³/min","","2"
"Design_flow_uom","m³/h","","3"
"Design_flow_uom","L/s","","4"
"Design_flow_uom","L/min","","5"
"Design_flow_uom","L/h","","6"
"Design_flow_uom","kg/s","","7"
"Design_flow_uom","kg/min","","8"
"Design_flow_uom","kg/h","","9"
"Design_pressure_uom","Pa","","1"
"Design_pressure_uom","Bar","","2"
"Design_pressure_uom","Barg","","3"
"Design_pressure_uom","Bara","","4"
"Design_pressure_uom","Baro","","5"
"Design_pressure_uom","atm","","6"
"Design_pressure_uom","psi","","7"
"Design_pressure_uom","mmHg","","8"
"Design_pressure_uom","kPa","","9"
"Design_pressure_uom","MPa","","10"
"EquipmentCategory","F","Køretøjer","1"
"EquipmentCategory","M","Maskine","2"
"EquipmentCategory","I","Instrument","3"
"EquipmentCategory","B","Værktøj","4"
"FireClassification","BK EI2 30-C 30 min","","1"
"FireClassification","BK EI2 30 30 min u. dørp","","2"
"FireClassification","BK EI2 60-C 60 min","","3"
"FireClassification","BK EI2 60-CA2s1,d0 60min","","4"
"FireClassification","BK E 30-C Flammestop 30 min","","5"
"FireClassification","BK E 60-C Flammestop 60 min","","6"
"FireClassification","BK CS200 Selvluk røgtæt dør","","7"
"FireClassification","BK EI 60 (60 min)","","8"
"FireClassification","BK EI 120 (120 min)","","9"
"FireClassification","BK EW 30 (30 min)","","10"
"Plant","AVV","2806","1"
"Plant","ASV","2805","2"
"Plant","HEV","2810","3"
"Plant","KYV","2808","4"
"Plant","SKV","2801","5"
"Plant","SSV","2804","6"
"Plant","HCV","2807","7"
"Plant","SMV","2806","8"
"FireSealingType","Brandtætningsmasse","","1"
"FireSealingType","Brandplade","","2"
"FireSealingType","Brandfuge","","3"
"FireSealingType","Brandpakning","","4"
"FireSealingType","Brandmanchet","","5"
"FireSealingType","Brandbøsning","","6"
"FireSealingType","Tætningsstrimmel","","7"
"FireSealingType","Rør- og kanalisolering","","8"
"FireSealingType","Brandklodser","","9"
"FireSealingType","Andet","","10"
"TestMethod","Nr1: End to end test","","1"
"TestMethod","Nr2: Giver test uden signalvej","","2"
"TestMethod","Nr3: Screening(Serie/parallel)","","3"
"TestMethod","Nr4: Test af signalvej","","4"
"TestMethod","Nr5: Test/kalibrering af lev.","","5"
"Typekreds","1.1 Energi-/flowmåler","","1"
"Typekreds","1.2 Fjernvarmemåler","","2"
"Typekreds","1.3 Elmåler HSP Trans/Direkte","","3"
"Typekreds","1.4 Elmåler LSP Trans/Direkte","","4"
"Typekreds","2.1 Vandmåler","","5"
"Typekreds","2.2 Gasmåler masse","","6"
"Typekreds","2.3 Gasmåler volume","","7"
"Typekreds","2.4 Oliemåler vol, pos, fortr.","","8"
"Typekreds","2.5 Oliemåler “drosselgeräte”","","9"
"Typekreds","2.6 Oliemåler masse, Coriolis","","10"
"Typekreds","2.7 Brovægt","","11"
"Typekreds","2.8 Båndvægt, kul, biopille mv","","12"
"Typekreds","2.9 Halmkran, vægt, fugtbest.","","13"
"Typekreds","3.1 Miljømåling og miljørap.","","14"
"Typekreds","4.1 Niveaumåling i Tank, Silo","","15"
"Typekreds","4.2 Niveaumåling i Silo","","16"
"Typekreds","5.1 Prøveudtag Kul Piller Flis","","17"
"Typekreds","5.2 Prøveudtag Olie","","18"
"SCEq:NO CLASS","1.1 Evakuering-alarm/sirene","","1"
"SCEq:NO CLASS","2.1 Sikkerhedsventiler","","2"
"SCEq:NO CLASS","2.2 Trykbeholdere","","3"
"SCEq:NO CLASS","2.3 Rørledninger","","4"
"SCEq:NO CLASS","2.4 Hængere","","5"
"SCEq:NO CLASS","3.1 TRIP-kedelbeskyttelse","","6"
"SCEq:NO CLASS","3.2 TRIP-turbinebeskyttelse","","7"
"SCEq:NO CLASS","3.3 TRIP-generatorbeskyttelse","","8"
"SCEq:NO CLASS","3.4 TRIP-ammoniakbeskyttelse","","9"
"SCEq:NO CLASS","3.5 TRIP-øvrige anlæg","","10"
"SCEq:NO CLASS","4.1 Sikker forsyning","","11"
"SCEq:NO CLASS","4.2 Nødgeneratorer","","12"
"SCEq:NO CLASS","4.3 DC sikrede pumper/blæsere","","13"
"SCEq:NO CLASS","5.1 Brandslukningsanlæg","","14"
"SCEq:NO CLASS","5.2 Brandvandsystemer","","15"
"SCEq:NO CLASS","5.3 Eksplosionshæmning","","16"
"SCEq:NO CLASS","5.4 Gas detektionssystemer","","17"
"SCEq:NO CLASS","5.5 Branddetektorer","","18"
"SCEq:NO CLASS","5.6 Sprængklapper","","19"
"SCEq:NO CLASS","6.1 IT/OT Udstyr","","20"
"SCEq:NO CLASS","7.1 Tankgårde","","21"
"SCEq:NO CLASS","7.2 Olieudskillere","","22"
"SCEq:NO CLASS","7.3 Tanke brændsel/kemikalier","","23"
"SCEq:NO CLASS","7.4 Miljømålere - vilkår","","24"
"SCEq:NO CLASS","7.5 Miljømålere - afregning","","25"
"SCEq:NO CLASS","7.6 Afregningsmålere","","26"
"SCEq:ELF","1.1 Evakuering-alarm/sirene","","1"
"SCEq:ELF","3.1 TRIP-kedelbeskyttelse","","2"
"SCEq:ELF","3.2 TRIP-turbinebeskyttelse","","3"
"SCEq:ELF","3.3 TRIP-generatorbeskyttelse","","4"
"SCEq:ELF","3.4 TRIP-ammoniakbeskyttelse","","5"
"SCEq:ELF","3.5 TRIP-øvrige anlæg","","6"
"SCEq:ELF","4.1 Sikker forsyning","","7"
"SCEq:ELF","4.3 DC sikrede pumper/blæsere","","8"
"SCEq:ELF","5.1 Brandslukningsanlæg","","9"
"SCEq:ELF","5.3 Eksplosionshæmning","","10"
"SCEq:ELF","5.4 Gas detektionssystemer","","11"
"SCEq:ELF","6.1 IT/OT Udstyr","","12"
"SCEq:GIV","1.1 Evakuering-alarm/sirene","","1"
"SCEq:GIV","3.1 TRIP-kedelbeskyttelse","","2"
"SCEq:GIV","3.2 TRIP-turbinebeskyttelse","","3"
"SCEq:GIV","3.3 TRIP-generatorbeskyttelse","","4"
"SCEq:GIV","3.4 TRIP-ammoniakbeskyttelse","","5"
"SCEq:GIV","3.5 TRIP-øvrige anlæg","","6"
"SCEq:GIV","5.1 Brandslukningsanlæg","","7"
"SCEq:GIV","5.3 Eksplosionshæmning","","8"
"SCEq:GIV","5.4 Gas detektionssystemer","","9"
"SCEq:GIV","5.5 Branddetektorer","","10"
"SCEq:GIV","7.4 Miljømålere - vilkår","","11"
"SCEq:GIV","7.5 Miljømålere - afregning","","12"
"SCEq:GIV","7.6 Afregningsmålere","","13"
