"Title","StrategyName","SchedulingIndicator","Hierarchical","PackagesLoaded","Notes"
"100","Tæller 250-1000-1250 timer","PERFORMANCE","Ikke afklaret","FALSE",""
"101","1-3-6-12-36 md eftersyn","TIME","Ikke afklaret","FALSE",""
"102","1-12 md. eftersyn","TIME","Ikke afklaret","FALSE",""
"103","6 - 12 md. eftersyn","TIME","Ikke afklaret","FALSE",""
"104","3 mdr - 12 mdr.","TIME","Ikke afklaret","FALSE",""
"105","6 - 24 - 48 md. eftersyn","TIME","Ikke afklaret","FALSE",""
"106","12 - 24 md. eftersyn","TIME","Ikke afklaret","FALSE",""
"107","Tæller str. 2000-6000-24000","PERFORMANCE","Ikke afklaret","FALSE",""
"108","Tæller str. 4000-12000-48000","PERFORMANCE","Ikke afklaret","FALSE",""
"109","1 md + 6 md","TIME","Ikke afklaret","FALSE",""
"110","1-2-4-8-12-26-52 uger","TIME","Ikke afklaret","FALSE",""
"111","1md - 6md - 12md","TIME","Ikke afklaret","FALSE",""
"112","2 - 12 - 24 - 48 -60 MON","TIME","Ikke afklaret","FALSE",""
"113","1-4-52 Uger","TIME","Ikke afklaret","FALSE",""
"114","Tæller 500-1000-2000-3000 time","PERFORMANCE","Ikke afklaret","FALSE",""
"115","Tæller 250-500-1000-2000 timer","PERFORMANCE","Ikke afklaret","FALSE",""
"116","Tæller 3000 - 6000 timer","PERFORMANCE","Ikke afklaret","FALSE",""
"117","T. 250-500-1000-1500-2000-3000","PERFORMANCE","Ikke afklaret","FALSE",""
"118","Tæller 300-600-900-1200-2400","PERFORMANCE","Ikke afklaret","FALSE",""
"119","1-2-3-4-6-8-12-18-24-30-36 MON","TIME","Ikke afklaret","FALSE",""
"120","2 år - 4 år","TIME","Ikke afklaret","FALSE",""
"121","1, 2, 3, 5 år Kedelinspektion","TIME","Ikke afklaret","FALSE",""
"122","Tæller 200-1600-4000","PERFORMANCE","Ikke afklaret","FALSE",""
"123","Tæller 200-400-800-1600","PERFORMANCE","Ikke afklaret","FALSE",""
"124","1-3-6 md eftersyn","TIME","Ikke afklaret","FALSE",""
"125","1-3-6-12-24 md eftersyn","TIME","Ikke afklaret","FALSE",""
"126","1-4-12 md","TIME","Ikke afklaret","FALSE",""
"127","2-4 Uger","TIME","Ikke afklaret","FALSE",""
"128","År 1, 2, 3, 1, 2, 3","TIME","Ikke afklaret","FALSE",""
"129","1, 2, 4, 5 YR. N2 Generator","TIME","Ikke afklaret","FALSE",""
"130","Tæller 500-2000 timer","PERFORMANCE","Ikke afklaret","FALSE",""
"131","Tæller 2500-5000-15000 timer","PERFORMANCE","Ikke afklaret","FALSE",""
"132","1 - 2 - 4 - 6 - 8 - 12 års","TIME","Ikke afklaret","FALSE",""
"133","4 år - 8 år","TIME","Ikke afklaret","FALSE",""
"134","2 år - 8 år","TIME","Ikke afklaret","FALSE",""
"135","1 - 6 -12 - 60 MON","TIME","Ikke afklaret","FALSE",""
"136","1 - 4 - 52 - 104 Uger","TIME","Ikke afklaret","FALSE",""
"137","1 - 4 - 26 - 104 Uger","TIME","Ikke afklaret","FALSE",""
"138","1-3-6-12-24-60-120 md eftersyn","TIME","Ikke afklaret","FALSE",""
"139","6-12-24-30-36-60-72 md eftersy","TIME","Ikke afklaret","FALSE",""
"140","1 YR, Hver måned","TIME","Ikke afklaret","FALSE",""
"150","1år - 4år - 8år","TIME","Ikke afklaret","FALSE",""
"151","1år-2år-4år-10år","TIME","Ikke afklaret","FALSE",""
"153","1år - 3år - 6år - 9år","TIME","Ikke afklaret","FALSE",""
"155","1år - 4år","TIME","Ikke afklaret","FALSE",""
"156","1 år - 10 år","TIME","Ikke afklaret","FALSE",""
"160","1år - 5år","TIME","Ikke afklaret","FALSE",""
"165","1 år - 6 år","TIME","Ikke afklaret","FALSE",""
"166","2 år - 6 år","TIME","Ikke afklaret","FALSE",""
"167","1 år -5år -10 år","TIME","Ikke afklaret","FALSE",""
"168","1år - 12år","TIME","Ikke afklaret","FALSE",""
"169","8 år - 16 år","TIME","Ikke afklaret","FALSE",""
"190","Tæller 250-500-1000-1500-3000","PERFORMANCE","Ikke afklaret","FALSE",""
