Title,StrategyKey,PackageNo,CycleLength,CycleUnit,PackageText,ShortCode,Hierarchy,Offset,PrelimBufferDays,SubseqBufferDays,ColorHex,IsActive
Z-MONTH-1,Z-MONTH,1,1,MON,Maanedligt tilsyn,M1,1,0,0,0,#7dd3fc,TRUE
Z-MONTH-2,Z-MONTH,2,3,MON,Kvartalsvis eftersyn,M3,2,0,2,2,#38bdf8,TRUE
Z-MONTH-3,Z-MONTH,3,6,MON,Halvaarligt eftersyn,M6,3,0,5,5,#0284c7,TRUE
Z-MONTH-4,Z-MONTH,4,12,MON,Aarligt hovedeftersyn,M12,4,0,10,10,#075985,TRUE
Z-YEAR-1,Z-YEAR,1,1,YR,Aarlig inspektion,Y1,1,0,0,0,#bbf7d0,TRUE
Z-YEAR-2,Z-YEAR,2,2,YR,2-aarig gennemgang,Y2,2,0,14,14,#4ade80,TRUE
Z-YEAR-3,Z-YEAR,3,5,YR,5-aarigt hovedeftersyn,Y5,3,0,30,30,#15803d,TRUE
Z-WEEK-1,Z-WEEK,1,1,WK,Ugentligt runderingstjek,W1,1,0,0,0,#fde68a,TRUE
Z-WEEK-2,Z-WEEK,2,4,WK,4-ugers eftersyn,W4,2,0,2,2,#f59e0b,TRUE
Z-WEEK-3,Z-WEEK,3,13,WK,Kvartalseftersyn,W13,3,0,5,5,#b45309,TRUE
Z-RUNH-1,Z-RUNH,1,500,H,500 driftstimer,H500,1,0,0,0,#fecaca,TRUE
Z-RUNH-2,Z-RUNH,2,2000,H,2000 driftstimer,H2000,2,0,0,0,#f87171,TRUE
Z-RUNH-3,Z-RUNH,3,8000,H,8000 driftstimer - hovedeftersyn,H8000,3,0,0,0,#b91c1c,TRUE
