Title,Domain,DisplayText,Plant,ParentCode,IsActive,SortOrder
1000,PLANT,Produktion Nord,,,TRUE,10
2000,PLANT,Produktion Syd,,,TRUE,20
M01,PLANNERGROUP,Mekanisk vedligehold,1000,,TRUE,10
E01,PLANNERGROUP,El og automation,1000,,TRUE,20
B01,PLANNERGROUP,Bygning og forsyning,1000,,TRUE,30
MEK-100,WORKCENTER,Mekanisk vaerksted,1000,M01,TRUE,10
ELE-100,WORKCENTER,El-vaerksted,1000,E01,TRUE,20
EKS-100,WORKCENTER,Ekstern leverandoer,1000,,TRUE,30
PM01,ORDERTYPE,Planlagt vedligehold,,,TRUE,10
PM02,ORDERTYPE,Afhjaelpende vedligehold,,,TRUE,20
PM03,ORDERTYPE,Lovpligtigt eftersyn,,,TRUE,30
PM01,CONTROLKEY,Intern bearbejdning,,,TRUE,10
PM02,CONTROLKEY,Ekstern bearbejdning,,,TRUE,20
PM03,CONTROLKEY,Ekstern med servicespec.,,,TRUE,30
DAY,CYCLEUNIT,Dage,,,TRUE,10
WK,CYCLEUNIT,Uger,,,TRUE,20
MON,CYCLEUNIT,Maaneder,,,TRUE,30
YR,CYCLEUNIT,Aar,,,TRUE,40
H,CYCLEUNIT,Driftstimer,,,TRUE,50
KM,CYCLEUNIT,Kilometer,,,TRUE,60
4,TASKLISTUSAGE,Vedligehold,,,TRUE,10
0,SYSTEMCONDITION,Anlaeg ude af drift,,,TRUE,10
1,SYSTEMCONDITION,Anlaeg i drift,,,TRUE,20
M1,NOTIFTYPE,Vedligeholdsanmodning,,,TRUE,10
M2,NOTIFTYPE,Fejlmelding,,,TRUE,20
